0.7073698068234014,0.7074984892789461,0.08384830039139674,0.08395727718662752,0.0018075142812533191,0.8544833974969266,-0.0018420505942022974,0.01684625420217561,0.3148086807961858,0.218372373360264,0.7037175332539201,0.7033777140301727,0.07848046499207172,0.07876868785573714,0.0015443849903060964,0.8534949456196117,-0.0029053305393629387,0.0159694526922838,0.319772375268606,0.32705140869102267,0.707000326606766,0.7065284935446549,0.08007815343183419,0.08050433494287755,0.0013675745674713495,0.871849872518749,-0.0009382263658797121,0.020731907596344044,0.31913761320272127,0.3033323572740041,0.7037863467775187,0.7031966973706347,0.07462540383898056,0.07487664571242997,0.00157675427544417,0.8522898374491705,-0.0019754763708897485,0.014096170159097171,0.3263185104685578,0.33670850253960616,0.8681219638857418,0.40562970647168944,0.22799016908953113,0.6280318188741355,0.9045697797256385,0.28299079022173534,0.5432365851600355,0.3079917240681916,0.25795558043576183,0.5318222093724906,0.3239905405032271,0.38298471846250776;1
0.6211842350809481,0.6211620810760791,0.07771129911524553,0.07778162143689211,0.004878368591723475,0.8273593973478609,0.002733618879630844,0.02340058608350752,0.3387903097984108,0.24994550365275373,0.6196747434274893,0.6199653796287454,0.07525779967732152,0.07536537007166313,0.0040345653154559334,0.8263829070691608,0.0034261438862865697,0.02558141501125631,0.33666176131908204,0.34682235957713137,0.6215198814172038,0.6218422254631525,0.07525745744092634,0.07556612184906525,0.00452530526010937,0.8273792116414139,0.003104258488563599,0.023775499544238164,0.35948849165318864,0.33366469328468074,0.619847082260522,0.6201913973345801,0.07185056563728101,0.07199873056124097,0.0038247642268992334,0.8244342813076248,0.0030562277151211605,0.022124909441811544,0.34588079285885076,0.3603169775965803,0.8508932356424354,0.35780012483570756,0.2917390814071988,0.5444120774608279,0.7834866792989438,0.3098965743065742,0.5484643348828643,0.3433251631674675,0.30369433031315624,0.5124102950928388,0.574732411886461,0.5151209483556078;3
0.6387170124451296,0.6387832211059904,0.33831961440311387,0.33863332392809986,-0.007475107038560246,0.8169499927036237,0.25814779290475903,0.37733254988851633,0.08898547781618396,0.020395401416189955,0.682481582564271,0.6830316860869887,0.37551917268841095,0.37546900939492944,-0.010674858606964514,0.7943028758970668,0.2950457292292031,0.422005731439436,0.06590778161749289,0.029928364821987626,0.6305069452120328,0.6311777198351705,0.3316782564210739,0.33312458230296865,-0.007318268673768328,0.8159249355515031,0.2328575104900661,0.34368772168792655,0.08939219028551294,0.035918175897838064,0.6771958633008344,0.6777391219925059,0.35850141970119054,0.35897221311193095,-0.007512977839357882,0.7917698851800341,0.254358732167693,0.4031435242538057,0.06794009286132996,0.03387308856058589,0.8016500476634909,0.4071067332873606,0.3315691065155249,0.46947263921247123,0.6519067020171453,0.07878452698494824,0.40941968375176524,0.1492868236449373,0.021110885777826088,0.053986570614833654,0.5320692674986843,0.16423055000539355;5
0.6879431490940262,0.6875995813932468,0.1585478902637294,0.15813054653417222,0.0015682201886555224,0.8840944657103231,0.10303714010721489,0.19117573870162252,0.09833450178224537,0.0897345506764887,0.7205187198357748,0.7215249434377248,0.19469465531184502,0.19537714876836484,0.001914014364738666,0.8667830014796394,0.12976606136476812,0.2321868808185591,0.07816722357291121,0.10445558364714103,0.6993367333133913,0.7007011287227808,0.16819111684781116,0.1699724871021419,0.001522408917507448,0.8833053135183407,0.10668315015758745,0.19714120311419642,0.09096002028202795,0.11624285608760165,0.7220650076394036,0.7237226242668009,0.1874807699955569,0.1891559243718283,0.0017436998593643696,0.8676822403037147,0.1175863013915558,0.2286468611814406,0.07635963144086573,0.10629581377931999,0.8672316224771014,0.3254048655119286,0.33011961553588953,0.431374688923876,0.6392619276357812,-0.03011574940075813,0.35789128602870773,0.07110288268992396,0.05903164391591828,0.19256141158119486,0.6172112272431484,0.31527675008984307;7
0.6315211134208002,0.6317080607328,0.3886759083660801,0.38931380063872,-0.008534052724800003,0.8013400358700803,0.2946564613283201,0.4113654998256001,0.11052574849088,0.013357508861120006,0.7063282056208,0.7055409205081602,0.4490606075257601,0.4472479227865601,-0.006728864328320002,0.76433334743968,0.3498423967164801,0.48519532202368,0.08059374992607998,0.02295393288864001,0.6557657133804801,0.65549445155968,0.40606053525024016,0.40686320040672014,-0.008910828123200005,0.7989354710192001,0.27473427837184017,0.4004771719238401,0.10743309211040003,0.029845885064960005,0.7115124358688001,0.7107524954886404,0.42874077215936,0.42769162708479996,-0.005606797372160003,0.7641326963065602,0.32032156460512,0.48280557562591997,0.08403967954528001,0.024964314663679994,0.768605,0.182564335408,0.84803618620512,0.17562484411327992,0.6748218187027201,-0.04400532916352001,0.40570261914464,0.1585109111488,0.02350222283328001,0.02844931428032001,0.4980052848332802,0.10882211396672004;9
0.651720818,0.65176575,0.177951367,0.178128264,0.003658215,0.808507465,0.086982196,0.171499545,0.14323045,0.059263575,0.678418811,0.678442379,0.206983395,0.206675812,0.00385293,0.796549146,0.109550099,0.204176734,0.129164589,0.070268125,0.636060043,0.636002542,0.155960441,0.155977953,0.003490152,0.802667917,0.076066122,0.144207688,0.178563552,0.086573194,0.67799162,0.677914531,0.197494546,0.197243948,0.003447473,0.798272978,0.098468252,0.197386928,0.136866908,0.073928595,-0.53125,-0.055380393,0.577916194,-0.05177396,-3.212121212,0.0,0.327047901,0.0,-2.351851852,0.0,0.460134467,0.0;11
0.6389467293977258,0.6394696553433699,0.16110059190055528,0.16134460065511677,0.003674327084991675,0.8608992564693407,0.0028613925483285062,0.02747057287749801,0.31530855568711885,0.13922809246568416,0.6419252532231873,0.6400944235265038,0.16343341070255854,0.16112460507229082,0.002435185080014738,0.8841400538666399,0.00505507750590917,0.03912684235580732,0.2671152673369777,0.19788547371236204,0.6413732375978656,0.6390371404758367,0.16014791960714497,0.15816179300007177,0.0028386375417198298,0.8735984549535063,0.0028610780296966154,0.02980594487253268,0.28540261484149315,0.19236174208189044,0.6442268144242999,0.641364046335843,0.15839381136522854,0.15607992438948753,0.0013925518162046177,0.9117181066132538,0.006501097441076154,0.04467010016072946,0.21050252143697573,0.19927992145894097,0.6860299574167328,0.7743536607994309,0.1615455265946702,0.7712846863398798,0.6595921884833124,0.23487320520620264,0.644937910030385,0.4473198522614646,0.31326723017451913,0.516434936323214,0.7971418572380109,0.5974492387061756;13
0.536045423208551,0.5357875289604983,0.12397513022581047,0.12347114177272166,0.0011417010409712966,0.8884287227003208,0.01371482960392248,0.05065418445690975,0.20506342768582708,0.15555163709986605,0.5446438586277473,0.5453162093673085,0.13901700870307643,0.13949917320355412,0.0005001555200088258,0.9139486266680149,0.01964862505106662,0.0687602605980935,0.16668603717268415,0.19739542737928578,0.538785690714928,0.5397444263320037,0.1261118391093081,0.12763313848946875,0.0009289865948279312,0.8982578606795195,0.014651989201170274,0.053670908645550214,0.1970001348353534,0.201019326056381,0.550609045260208,0.551779941542694,0.14138548485110997,0.14300679889160292,0.0005698570136974036,0.9123607060487277,0.022873786856632196,0.07371566002006363,0.1575252270853261,0.19570666317064062,0.7795807327009155,0.5708654844675439,0.22848029125331812,0.641155158180836,0.6602093065758907,0.0954000965939815,0.5186807860134639,0.26023129780784604,0.31575460215675955,0.5197633781347044,0.6864381503371668,0.5528048586245661;15
0.4849917709106734,0.4848754297828253,0.10696413034886873,0.1069613909417997,0.0017978155471518034,0.8971953802521864,0.013441633456891505,0.04866119010758947,0.25074464740619273,0.17323961755927228,0.4915703190839515,0.4933430828643619,0.11676872770885234,0.11910969650492281,0.0013202647586447144,0.9029513222512364,0.019173994214978687,0.05988113327301554,0.2404806511741728,0.21885901706791386,0.4872514613151408,0.48915024631229315,0.10683143976592642,0.10959220555943855,0.0019451740035881745,0.8859991536692133,0.013630010213852035,0.04606785920350656,0.28095561396378466,0.23332888335474375,0.48978874483724055,0.4918034795003755,0.10880062026558973,0.11131389902320393,0.0015488803745489256,0.8920578886482301,0.015481781958222501,0.05204888975963928,0.25694922639783174,0.23609794830583275,0.7643873603992763,0.5782496502893206,0.2049641083076024,0.6992236337313591,1.051086919238115,0.5072268703621284,0.640541305194022,0.4630467770935151,0.3737574293480679,0.6166827812205531,0.2794017781305249,0.5802122296320774;17
0.4794563499197684,0.479537078099939,0.08245225906785988,0.08264365701160911,0.0028803468877312147,0.8938594020834867,0.006981717807331432,0.03954198340521062,0.2781950250822132,0.20242292720030186,0.4800444407405615,0.47990605491042654,0.08393611832633632,0.08384256982270151,0.00209035320053688,0.905938179636877,0.00921062780854106,0.04691960059869543,0.273033618347748,0.26199151393537307,0.4765301557921672,0.4763142936823851,0.07450507404875328,0.07448594584922204,0.0030624844837577195,0.8741662799147778,0.00288647671190896,0.02822120422278543,0.3311888264691587,0.3031893917153784,0.4777775747329004,0.4774870886218287,0.07598431873731566,0.07573551947872563,0.0019530344027409183,0.903022345375627,0.0055645445649711404,0.03894282279038273,0.28432797468373755,0.3002555289463645,0.7894077894627834,0.49963653915751716,0.33391672714305576,0.4756036229714971,0.8391340417936246,0.3514878475235672,0.5425258147288095,0.2905291395845722,0.3817493160280879,0.5512169818345933,0.6023544654154268,0.4769575097793051;19
