F01;Mean X Sudut 0
F02;Mean Y Sudut 0
F03;Varians X Sudut 0
F04;Varians Y Sudut 0
F05;Energi Sudut 0
F06;Entropi Sudut 0
F07;Dissimilarity Sudut 0
F08;Homogeneity Sudut 0
F09;Kontras Sudut 0
F10;Korelasi Sudut 0
F11;Mean X Sudut 45
F12;Mean Y Sudut 45
F13;Varians X Sudut 45
F14;Varians Y Sudut 45
F15;Energi Sudut 45
F16;Entropi Sudut 45
F17;Dissimilarity Sudut 45
F18;Homogeneity Sudut 45
F19;Kontras Sudut 45
F20;Korelasi Sudut 45
F21;Mean X Sudut 90
F22;Mean Y Sudut 90
F23;Varians X Sudut 90
F24;Varians Y Sudut 90
F25;Energi Sudut 90
F26;Entropi Sudut 90
F27;Dissimilarity Sudut 90
F28;Homogeneity Sudut 90
F29;Kontras Sudut 90
F30;Korelasi Sudut 90
F31;Mean X Sudut 135
F32;Mean Y Sudut 135
F33;Varians X Sudut 135
F34;Varians Y Sudut 135
F35;Energi Sudut 135
F36;Entropi Sudut 135
F37;Dissimilarity Sudut 135
F38;Homogeneity Sudut 135
F39;Kontras Sudut 135
F40;Korelasi Sudut 135
F41;Mean Channel L
F42;Varians Channel L
F43;Skewness Channel L
F44;Kurtosis Channel L
F45;Mean Channel A
F46;Varians Channel A
F47;Skewness Channel A
F48;Kurtosis Channel A
F49;Mean Channel B
F50;Varians Channel B
F51;Skewness Channel B
F52;Kurtosis Channel B
